ydeg ymin ysec xdeg xmin xsec sourcedist
18 52 15 71 50 15 116
18 41 15 68 56 15 103
19 37 45 70 21 45 134
18 21 45 70 15 45 28
18 51 15 71 1 15 3
19 30 45 72 38 45 95
18 52 45 70 29 45 63
19 14 15 72 32 45 128
19 43 15 72 10 45 39
19 0 15 71 15 15 35
18 15 45 71 7 45 74
19 8 45 70 19 45 46
18 50 15 72 9 45 368
18 30 15 74 21 45 69
18 48 15 72 14 45 67
19 38 15 71 49 15 1
18 29 15 72 5 45 2
18 26 45 72 21 45 1
19 7 15 71 56 15 260
18 50 15 71 56 45 42
18 56 15 71 39 15 129
19 38 15 71 10 45 256
18 19 45 73 49 15 39
18 56 45 70 18 15 12
19 42 15 72 8 45 141
18 33 15 74 17 45 160
18 42 15 71 29 45 4
18 24 45 72 3 45 48
18 38 15 70 7 45 49
18 45 45 72 29 45 46
18 36 15 72 17 15 144
18 14 45 72 14 15 4
19 17 45 72 33 45 139
19 51 45 73 11 15 45
18 57 15 71 47 15 173
19 36 15 71 5 15 238
18 57 15 71 55 15 180
19 20 45 72 19 45 121
18 56 15 71 42 15 145
19 51 15 71 2 45 118
18 13 45 72 51 45 124
19 9 45 69 44 45 184
19 39 15 70 24 15 116
18 51 45 72 10 45 379
19 10 15 69 40 45 213
18 28 15 72 32 45 105
19 14 45 72 30 45 13
18 36 45 68 59 15 11
18 14 15 72 16 45 4
19 2 45 71 15 45 1
19 9 15 72 17 45 1
18 46 45 71 58 15 15
18 34 15 70 3 45 65
18 30 15 70 30 45 63
18 20 45 72 15 45 1
18 14 15 70 11 15 2
18 14 45 72 46 15 6
18 11 45 72 48 45 136
19 17 15 70 48 15 35
18 49 15 70 56 15 76
19 20 45 70 42 45 111
18 13 45 72 17 15 6
19 43 15 72 6 15 1
19 30 45 72 18 45 3
19 31 15 71 53 15 103
19 29 15 72 8 15 92
19 27 15 70 45 45 138
19 37 15 72 50 15 14
18 37 15 74 14 45 1
18 38 15 72 10 45 4
18 21 15 73 7 15 109
18 10 45 72 42 15 72
18 30 15 71 3 15 57
18 35 45 70 24 45 40
18 32 15 69 58 15 83
18 30 45 74 1 45 106
19 9 15 70 16 45 93
18 25 15 71 27 15 38
18 53 15 72 30 45 5
19 15 45 72 32 15 18
18 37 15 68 54 15 119
18 9 45 71 46 45 66
18 47 15 72 0 45 22
18 47 45 68 52 15 82
18 16 45 71 10 15 65
18 37 45 70 34 45 2
19 37 15 71 6 15 242
19 23 15 71 20 15 1
19 37 45 71 14 15 270
18 16 15 73 11 45 136
18 23 15 74 22 15 5
18 40 15 72 11 45 7
18 39 45 69 49 45 129
18 23 45 73 22 15 169
19 25 45 70 57 45 260
19 17 15 72 38 45 1
18 20 45 73 36 45 1
18 26 45 68 57 45 60
19 9 15 72 36 15 512
18 22 15 72 59 15 1
18 15 45 72 49 15 97
18 20 15 72 57 45 5
18 49 45 70 56 15 75
19 31 45 72 40 45 10
19 10 15 69 50 45 165
19 11 45 71 59 15 3
18 49 45 71 55 15 36
19 14 15 70 35 15 11
19 41 45 72 17 45 2
18 58 15 71 54 45 175
19 33 45 71 53 15 114
18 13 45 72 25 15 37
19 15 45 72 21 15 2
18 22 45 72 41 45 39
18 11 45 72 42 45 1
18 38 15 70 32 45 33
18 20 45 71 9 45 201
18 53 15 68 50 15 1
19 10 15 72 11 45 77
18 51 45 71 56 45 333
18 24 45 72 32 15 1
18 14 45 72 50 15 98
18 21 45 70 15 15 27
18 46 45 71 7 45 37
19 22 15 72 24 15 1
18 40 45 71 5 15 137
19 31 15 71 47 45 37
18 50 15 72 31 15 94
18 20 15 74 4 15 7
19 36 15 72 55 45 67
18 31 15 69 56 15 91
18 19 45 73 39 15 111
18 22 15 73 50 15 6
19 41 45 72 3 45 1
19 48 45 72 34 15 137
18 42 45 71 55 45 4
18 26 15 74 12 15 3
19 27 45 71 39 15 37
18 25 45 68 57 45 62
19 20 15 71 2 15 306
18 18 15 72 38 45 37
18 53 15 70 33 45 46
19 40 15 72 40 45 54
19 8 45 69 54 15 41
18 30 45 69 57 15 88
19 43 15 72 6 45 4
18 36 45 71 57 45 2
19 27 45 72 6 45 86
18 30 45 71 0 15 12
18 56 45 71 40 45 133
19 11 15 72 11 15 76
19 38 45 71 8 15 248
18 23 45 72 27 15 3
18 39 15 71 13 15 84
18 20 15 72 47 45 33
18 28 45 72 22 45 35
18 32 15 68 58 15 8
18 26 15 72 24 15 2
19 46 15 72 47 45 146
19 28 45 71 5 15 266
19 50 45 73 12 15 42
