daysince2010 Centre Grand'Anse L'Artibonite Nippes Nord Nord-Est Nord-Ouest Ouest Port-au-Prince Sud Sud-Est
269 49.91331 78.19697 42.4255 39.9796 29.51332 3.494424 17.19503 11.13983 11.13983 23.28737 29.37831
270 50.54138 3.783724 37.76855 0.0254 53.42384 11.9303 21.53612 27.67203 27.67203 7.96673 3.084723
271 0.6927273 7.42731 0 5.4864 0.9272233 0 0 0.2170097 0.2170097 0.2257778 21.22583
272 1.838036 24.12124 5.709587 2.6416 0 0.4772121 1.062182 4.925463 4.925463 9.144 9.633639
273 2.3368 3.74869 9.533744 0.4064 6.490563 52.03152 12.59224 0.5326602 0.5326602 1.193397 0.1836145
274 1.801091 8.916276 1.205875 1.651 11.65934 5.403273 1.801091 1.190265 1.190265 0.7418413 5.092241
275 21.16975 7.269655 7.475095 0.1778 8.423922 0 10.62182 0.5852686 0.5852686 0.1935238 5.630843
276 22.36124 19.35655 16.03614 0.0508 7.417786 9.421091 23.02933 8.94343 8.94343 1.386921 0.1468916
277 63.28756 96.99297 6.708931 24.384 7.06268 0 2.170545 23.14113 23.14113 15.51416 2.521639
278 0.4710546 19.09379 0 1.4732 0.01972816 0 0 14.00041 14.00041 1.967492 12.2532
279 0 20.98566 0.01332459 4.2672 0 0 0 0.03945631 0.03945631 0 33.11181
280 0 22.19434 0 2.8956 0 0 0 0.4668997 0.4668997 4.563937 6.671325
281 0.4987636 0 3.344472 0 1.400699 0.4772121 21.95176 0.8483107 0.8483107 0 0
282 0.4156364 0.8057931 1.052643 2.7178 20.65538 0.0769697 9.144 1.236298 1.236298 0.5160635 0.354988
283 0.9882909 0.3328276 1.119266 0.3048 27.65887 0.01539394 6.942667 4.537476 4.537476 0 0.02448193
284 5.911273 0 6.668957 0 0.05918447 0 1.308485 0 0 0 0
285 12.05345 6.639035 2.131934 1.143 0 0 0 8.430498 8.430498 4.451048 0.4161928
286 8.211127 51.65835 0.6062689 6.0706 0 0 0 18.49843 18.49843 8.837587 7.650602
287 4.027055 17.44717 0.1199213 0.2032 0 0 0 12.17227 12.17227 1.33854 0.04896386
288 1.357745 0 0.08660984 0 0 0 0 0.9403754 0.9403754 0 0
289 1.468582 0 0.8927475 0.6096 0.09864078 0 6.388485 6.977191 6.977191 4.257524 0
290 0.7204364 3.888828 0.1998689 0.4572 0.1775534 1.570182 6.942667 21.82592 21.82592 0.2257778 7.148723
